cell_type;min_sample;epsilon;x_roi_w_borders;y_roi_w_borders;id_cluster;in_cluster_edge;area_cluster;x_centroid;y_centroid;edge_cell_in_e1;edge_cell_in_e2;edge_cell_in_e3;edge_cell_in_e4;edge_cell_in_e5;edge_cell_in_e6;edge_cell_in_e7;edge_cell_in_e8;edge_cell_in_e9;edge_cell_in_e10;edge_cell_in_e11;edge_cell_in_e12;edge_cell_in_e13;edge_cell_in_e14;edge_cell_in_e15;edge_cell_in_e16;edge_cell_in_e17;edge_cell_in_e18;edge_cell_in_e19;edge_cell_in_e20;edge_cell_in_e21;edge_cell_in_e22;edge_cell_in_e23;edge_cell_in_e24;edge_cell_in_e25;edge_cell_in_e26;edge_cell_in_e27;edge_cell_in_e28;edge_cell_in_e29;edge_cell_in_e30;edge_cell_in_e31;edge_cell_in_e32;edge_cell_in_e33;edge_cell_in_e34;edge_cell_in_e35;edge_cell_in_e36;edge_cell_in_e37;edge_cell_in_e38;edge_cell_in_e39;edge_cell_in_e40;edge_cell_in_e41;edge_cell_in_e42;edge_cell_in_e43;edge_cell_in_e44;edge_cell_in_e45;edge_cell_in_e46;edge_cell_in_e47;edge_cell_in_e48;edge_cell_in_e49;edge_cell_in_e50;edge_cell_in_e51;edge_cell_in_e52;edge_cell_in_e53;edge_cell_in_e54;edge_cell_in_e55;edge_cell_in_e56;edge_cell_in_e57;edge_cell_in_e58;edge_cell_in_e59;edge_cell_in_e60;edge_cell_in_e61;edge_cell_in_e62;edge_cell_in_e63;edge_cell_in_e64;edge_cell_in_e65;edge_cell_in_e66;edge_cell_in_e67;edge_cell_in_e68;edge_cell_in_e69;edge_cell_in_e70;edge_cell_in_e71;edge_cell_in_e72;edge_cell_in_e73;edge_cell_in_e74;edge_cell_in_e75;edge_cell_in_e76;edge_cell_in_e77;edge_cell_in_e78;edge_cell_in_e79;edge_cell_in_e80;edge_cell_in_e81;edge_cell_in_e82;edge_cell_in_e83;edge_cell_in_e84;edge_cell_in_e85;edge_cell_in_e86;edge_cell_in_e87;edge_cell_in_e88;edge_cell_in_e89;edge_cell_in_e90;edge_cell_in_e91;edge_cell_in_e92;edge_cell_in_e93;edge_cell_in_e94;edge_cell_in_e95;edge_cell_in_e96;edge_cell_in_e97;edge_cell_in_e98;edge_cell_in_e99
BnT;4;3864.102564102564;-364;-279;0;False;6472.0;-355.0;-269.0;False;False;True;True;False;True;True;True;True;False;True;False;False;False;True;False;True;False;True;True;True;False;False;False;True;False;True;False;False;False;True;False;True;False;False;True;True;True;False;True;False;True;False;True;False;True;True;True;False;True;False;False;False;True;False;True;False;True;False;True;True;False;True;True;True;True;False;False;False;True;False;True;False;True;True;False;True;False;False;False;False;True;True;True;True;True;True;True;True;False;False;True;True;True;False;True;True;True;True
DC;4;2100.0;-343;-263;0;False;301890.0;-239.0;-8.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
DC;4;2100.0;-546;-732;0;True;301890.0;-239.0;-8.0;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;False;True;True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;True;True;True;False;False;True;True;True;True;False;True;True;True;True;True;False;True;True;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;False;True;True;False;True;True;True;False;False;True;False;True;True;True
DC;4;2100.0;-351;-305;0;False;301890.0;-239.0;-8.0;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;True;True;False;True;False;False;False
DC;4;2100.0;-528;-447;0;True;301890.0;-239.0;-8.0;True;False;True;True;True;False;True;False;True;False;False;True;True;True;True;False;True;True;True;False;True;True;True;True;True;True;True;True;False;True;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;True;False;False;True;True;True;True;False;True;False;True;False;True;False;True;False;True;True;True;True;False;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;False;False
DC;4;2100.0;-215;117;0;False;301890.0;-239.0;-8.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
DC;4;2100.0;-199;2;0;False;301890.0;-239.0;-8.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
DC;4;2100.0;-168;386;0;False;301890.0;-239.0;-8.0;True;False;False;True;False;False;True;False;True;False;False;False;True;False;True;False;True;True;False;False;False;True;True;False;True;False;True;True;False;False;False;False;False;True;True;True;False;True;False;False;True;True;True;True;True;True;False;False;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;True;True;True;False;True;False;False;False;True;False;False;False;True;True;False;False;True;True;False;False;False;False;False;False;False
DC;4;2100.0;17;579;0;True;301890.0;-239.0;-8.0;False;True;True;False;True;True;False;True;True;True;True;True;False;True;False;True;True;False;True;True;True;True;False;True;True;True;False;False;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;False;False;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True
DC;4;2100.0;-242;471;0;True;301890.0;-239.0;-8.0;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;True;True;True;False;True;True;False;True;True;True;True;True;True;True;True;False;False;True;True;False;True;True;False;True;False;False;True;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;False;False;False;True;False;True;True;True;False;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True
DC;4;2100.0;-32;3;0;True;301890.0;-239.0;-8.0;True;True;False;True;False;True;True;True;True;True;True;True;True;False;True;True;True;True;False;True;False;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;False;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;False;True;True;True;True;False;True;False;True;True
DC;4;2100.0;-115;228;0;False;301890.0;-239.0;-8.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
DC;4;2100.0;-146;-135;0;False;301890.0;-239.0;-8.0;False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;True;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;True;False;False;False;False;False;False;True;False;False;False;False;True;True;False;True;False;True;True;False;False;True;True;True;True;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;True;True;True;False;True;False;True;False;False;True;True;False;False;True;True;True;True;True;False;False
DC;4;2100.0;-76;1162;1;True;89327.5;-401.0;1295.0;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;True;True;True;True;False;True;True;True;True;False;True;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;False;True;True;True;False;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;False;True;False;False;True;True;True;True;True
DC;4;2100.0;-55;1182;1;True;89327.5;-401.0;1295.0;True;False;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;False;True;True;True;False;False;True;False;True;True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;True;False;True;True;True;True;True;True;True;True;True;True;False;True;True;True;False;True;True;False;False;True;True;True;True;True;False;True;True;True;False
DC;4;2100.0;-566;1276;1;False;89327.5;-401.0;1295.0;True;False;True;True;False;False;True;True;False;True;True;True;True;True;True;True;False;False;True;True;True;True;False;True;True;False;True;False;True;True;True;True;False;True;False;True;False;True;True;True;True;False;True;True;False;True;True;True;False;False;True;False;True;True;True;True;True;True;False;True;True;False;True;True;True;True;False;True;True;False;False;True;True;True;False;True;True;True;True;True;False;False;True;True;False;True;True;False;False;True;False;True;False;False;False;True;True;True;False
DC;4;2100.0;-600;1267;1;True;89327.5;-401.0;1295.0;False;True;True;False;True;True;False;False;True;False;True;True;False;False;True;False;True;True;False;True;True;False;True;True;False;True;True;True;False;False;False;False;True;True;True;False;True;True;True;False;True;True;True;True;True;True;False;True;True;True;False;True;False;False;False;True;False;False;True;True;False;True;True;False;True;False;True;True;False;True;True;True;True;True;True;False;True;True;False;True;True;True;False;True;True;False;True;True;True;True;True;False;True;True;True;False;False;False;True
DC;4;2100.0;-712;1589;1;True;89327.5;-401.0;1295.0;True;True;False;True;True;True;True;True;True;True;False;False;True;True;False;True;True;True;True;False;False;True;True;False;True;True;False;True;True;True;True;True;True;False;True;True;True;False;False;True;False;True;False;False;True;False;True;False;True;True;True;True;True;True;True;False;True;True;True;False;True;True;False;True;False;True;True;False;True;True;True;False;False;False;True;True;False;False;True;False;True;True;True;False;True;True;False;True;True;False;True;True;True;True;True;True;True;True;True
DC;4;2100.0;875;526;2;True;17331.5;1138.0;645.0;True;False;True;True;True;True;False;True;False;False;True;True;False;True;True;True;True;False;True;False;True;True;True;True;True;True;True;True;True;False;True;True;False;True;True;True;True;True;True;False;True;True;False;True;True;False;False;True;True;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;False;True;True;True;True;False;True;True;False;False;False;False;False;True;True;True;True;True;False;False;True;False;True;True;False;False;True;True;True;True;True
DC;4;2100.0;1193;671;2;False;17331.5;1138.0;645.0;True;True;True;True;True;False;True;True;True;True;False;False;True;False;True;False;False;True;True;True;True;True;False;False;False;False;False;False;True;True;False;False;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;False;True;True;True;True;False;False;True;True;False;False;True;True;True;False;False;True;True;False;False;True;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;False;True;True;True;True;True;True;True;False;True;False
